id,title,url,headline,instructor,rating,num_reviews,num_subscribers,num_lectures,content_length,level,is_paid,last_update,published_time,image,topic
2776760,100 Days of Code™: The Complete Python Pro Bootcamp,https://www.udemy.com/course/100-days-of-code/,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!","Dr. Angela Yu, Developer and Lead Instructor",4.6837215,415285,1749216,600,56.5 hours,All Levels,True,2026-02-28,2020-10-30T17:18:33Z,https://img-c.udemycdn.com/course/240x135/2776760_f176_10.jpg,python
567828,The Complete Python Bootcamp From Zero to Hero in Python,https://www.udemy.com/course/complete-python-bootcamp/,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,Jose Portilla,4.598396,557325,2135345,170,22.5 hours,All Levels,True,2025-08-07,2015-10-12T21:42:53Z,https://img-c.udemycdn.com/course/240x135/567828_67d0.jpg,python
543600,Automate the Boring Stuff with Python Programming,https://www.udemy.com/course/automate/,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Al Sweigart,4.601973,118758,1160922,51,9.5 hours,All Levels,True,2023-02-01,2015-09-21T21:10:01Z,https://img-c.udemycdn.com/course/240x135/543600_64d1_4.jpg,python
903744,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Jose Portilla,4.588887,157289,804727,165,25 hours,All Levels,True,2020-05-03,2016-09-18T17:36:23Z,https://img-c.udemycdn.com/course/240x135/903744_8eb2.jpg,python
6258083,Complete Python with AI Skills to Get Your Dream IT Job,https://www.udemy.com/course/complete-python-with-ai-skills-to-get-your-dream-it-job/,"Master Python for Data Science, AI, Machine Learning, Web Development, Game Development, Cybersecurity, and GUI!",Imran Afzal,4.5435877,720,4930,361,40.5 hours,All Levels,True,2026-02-07,2025-08-03T21:03:24Z,https://img-c.udemycdn.com/course/240x135/6258083_9a52_4.jpg,python
6761999,PYTHON: Python Programming (FROM ZERO TO YOUR FIRST JOB),https://www.udemy.com/course/python-python-programming-from-zero-to-your-first-job/,"PYTHON 4 IN 1: Basic, Intermediate, Advanced, Super Advanced (+first job). Start your career as a Python developer.",Marcelo PYTHON: Python Programming (FROM ZERO TO YOUR FIRST JOB),4.50299,157,446,92,9.5 hours,All Levels,True,2025-09-03,2025-08-28T09:00:42Z,https://img-c.udemycdn.com/course/240x135/6761999_5277_2.jpg,python
6629195,The Ultimate Python Bootcamp: Learn by Building 50 Projects,https://www.udemy.com/course/100-days-of-python/,Only Python course that you need,Hitesh Choudhary,4.5985136,2033,10883,153,30.5 hours,All Levels,True,2025-11-23,2025-06-26T15:15:26Z,https://img-c.udemycdn.com/course/240x135/6629195_fdfd_3.jpg,python
6790701,Python Data Structures and Algorithms: Complete Guide,https://www.udemy.com/course/python-data-structures-and-algorithms-complete-guide/,"Understand the algorithms, performance, and implementation of important data structures. Use advanced Python techniques.",Tim Buchalka,4.544675,102,2134,193,24.5 hours,Intermediate,True,2025-12-01,2025-10-23T15:05:35Z,https://img-c.udemycdn.com/course/240x135/6790701_1b99.jpg,python
4398404,Learn Python Programming - Beginner to Master,https://www.udemy.com/course/learn-python-with-abdul-bari/,Become a Python Expert. for Both Academics and Industry.  100+ Challenges,Abdul Bari,4.6267586,13243,58738,354,61.5 hours,All Levels,True,2026-01-30,2023-04-04T07:30:20Z,https://img-c.udemycdn.com/course/240x135/4398404_2f8f_2.jpg,python
629302,Learn Python Programming Masterclass,https://www.udemy.com/course/python-the-complete-python-developer-course/,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,Tim Buchalka,4.6800966,105379,439296,487,61.5 hours,All Levels,True,2026-02-16,2015-11-06T18:04:11Z,https://img-c.udemycdn.com/course/240x135/629302_8a2d_2.jpg,python
